address_id;address;address2;district;city_id;postal_code;phone;location;last_update
8;1566 Inegl Manor1566 Inegl Manor1566 Inegl Manor1566 Inegl Manor1566 Inegl Manor;;Mandalay;349;53561;705814003527;[B@65b3f4a4;25-09-2014
14;1531 Sal Drive;;Esfahan;162;53628;648856936185;[B@f2ff811;25-09-2014
20;360 Toulouse Parkway;;England;495;54308;949312333307;[B@568ff82;25-09-2014
30;18 Duisburg Boulevard;;;121;58327;998009777982;[B@50caa560;25-09-2014
34;1668 Anpolis Street;;Taipei;316;50199;525255540978;[B@2a266d09;25-09-2014
51;686 Garland Manor;;Cear;247;52535;69493378813;[B@5ab9e72c;25-09-2014
59;1697 Kowloon and New Kowloon Loop;;Moskova;49;57807;499352017190;[B@186f8716;25-09-2014
64;81 Hodeida Way;;Rajasthan;231;55561;250767749542;[B@1d8bd0de;25-09-2014
71;1586 Guaruj Place;;Hunan;579;5135;947233365992;[B@45ca843;25-09-2014
73;1031 Daugavpils Parkway;;Bchar;63;59025;107137400143;[B@11c9af63;25-09-2014
75;492 Cam Ranh Street;;Eastern Visayas;61;50805;565018274456;[B@757acd7b;25-09-2014
95;1370 Le Mans Avenue;;Brunei and Muara;53;52163;345679835036;[B@36b4fe2a;25-09-2014
98;152 Kitwe Parkway;;Caraga;82;53182;835433605312;[B@574b560f;25-09-2014
103;588 Vila Velha Manor;;Kyongsangbuk;268;51540;333339908719;[B@ba54932;25-09-2014
125;211 Chiayi Drive;;Uttar Pradesh;164;58186;665993880048;[B@28975c28;25-09-2014
139;943 Johannesburg Avenue;;Maharashtra;417;5892;90921003005;[B@3943a2be;25-09-2014
143;1029 Dzerzinsk Manor;;Ynlin;542;57519;33173584456;[B@343570b7;25-09-2014
161;1386 Nakhon Sawan Boulevard;;Pyongyang-si;420;53502;368899174225;[B@157853da;25-09-2014
167;1287 Xiangfan Boulevard;;Gifu;253;57844;819416131190;[B@71c3b41;25-09-2014
172;475 Atinsk Way;;Gansu;240;59571;201705577290;[B@236e3f4e;25-09-2014
175;316 Uruapan Street;;Perak;223;58194;275788967899;[B@3cc1435c;25-09-2014
181;146 Johannesburg Way;;Tamaulipas;330;54132;953689007081;[B@6bf0219d;25-09-2014
187;1839 Szkesfehrvr Parkway;;Gois;317;55709;947468818183;[B@dd0c991;25-09-2014
192;1166 Changhwa Street;;Caraga;62;58852;650752094490;[B@5f16132a;25-09-2014
193;891 Novi Sad Manor;;Ontario;383;5379;247646995453;[B@69fb6037;25-09-2014
234;1256 Bislig Boulevard;;Botosani;86;50598;479007229460;[B@36d585c;25-09-2014
252;1309 Weifang Street;;Florida;520;57338;435785045362;[B@87a85e1;25-09-2014
264;1027 Banjul Place;;West Bengali;197;50390;538241037443;[B@671a5887;25-09-2014
268;1831 Nam Dinh Loop;;National Capital Reg;323;51990;322888976727;[B@5552768b;25-09-2014
271;1587 Loja Manor;;Salzburg;447;5410;621625204422;[B@3c947bc5;25-09-2014
272;1762 Paarl Parkway;;Hunan;298;53928;192459639410;[B@609db43b;25-09-2014
282;556 Baybay Manor;;Oyo & Osun;374;55802;363982224739;[B@55f616cf;25-09-2014
283;457 Tongliao Loop;;Bursa;222;56254;880756161823;[B@1356d4d4;25-09-2014
288;226 Halifax Street;;Xinxiang;277;58492;790651020929;[B@c03cf28;25-09-2014
294;1912 Allende Manor;;Kowloon and New Kowl;279;58124;172262454487;[B@1329eff;25-09-2014
295;544 Tarsus Boulevard;;Gurico;562;53145;892523334;[B@6497b078;25-09-2014
304;1635 Kuwana Boulevard;;Hiroshima;205;52137;710603868323;[B@41c2284a;25-09-2014
305;41 El Alto Parkway;;Maharashtra;398;56883;51917807050;[B@53aad5d5;25-09-2014
307;1908 Gaziantep Place;;Liaoning;536;58979;108053751300;[B@46fa7c39;25-09-2014
308;687 Alessandria Parkway;;Sanaa;455;57587;407218522294;[B@1fb700ee;25-09-2014
315;543 Bergamo Avenue;;Minas Gerais;215;59686;103602195112;[B@4f67eb2a;25-09-2014
319;1957 Yantai Lane;;So Paulo;490;59255;704948322302;[B@4a668b6e;25-09-2014
321;651 Pathankot Loop;;Maharashtra;336;59811;139378397418;[B@5f683daf;25-09-2014
